device: cuda; sizes: [(6, 6), (9, 6), (12, 6), (15, 3)]; curve loss on: [(6, 6), (9, 6), (12, 6), (15, 3)]; lr: 0.001; H: 3
loadCodeEvaluations: kept 895050 codes on the requested grid; dropped 1948461 records whose grid does not contain all its points
  size 6,6: 895050 codes (716040 train) curveLoss=True
loadCodeEvaluations: kept 2745739 codes on the requested grid; dropped 2681591 records whose grid does not contain all its points
  size 9,6: 2745739 codes (2196591 train) curveLoss=True
loadCodeEvaluations: kept 1353227 codes on the requested grid; dropped 457979 records whose grid does not contain all its points
  size 12,6: 1353227 codes (1082582 train) curveLoss=True
loadCodeEvaluations: kept 4412297 codes on the requested grid; dropped 458644 records whose grid does not contain all its points
  size 15,3: 4412297 codes (3529838 train) curveLoss=True
epoch 89: train 9.9584 | val 6,6: 10.8199 | 9,6: 9.2785 | 12,6: 8.1344 | 15,3: 11.5932
epoch 90: train 9.9502 | val 6,6: 10.7993 | 9,6: 9.2755 | 12,6: 8.1157 | 15,3: 11.5909
epoch 91: train 9.9535 | val 6,6: 10.8120 | 9,6: 9.2833 | 12,6: 8.1276 | 15,3: 11.5973
epoch 92: train 9.9529 | val 6,6: 10.8033 | 9,6: 9.2865 | 12,6: 8.1269 | 15,3: 11.5958
epoch 93: train 9.9540 | val 6,6: 10.8034 | 9,6: 9.2758 | 12,6: 8.1212 | 15,3: 11.5919
epoch 94: train 9.9547 | val 6,6: 10.8092 | 9,6: 9.2839 | 12,6: 8.1274 | 15,3: 11.5963
epoch 95: train 9.9523 | val 6,6: 10.8033 | 9,6: 9.2831 | 12,6: 8.1345 | 15,3: 11.6048
epoch 96: train 9.9484 | val 6,6: 10.8058 | 9,6: 9.2796 | 12,6: 8.1197 | 15,3: 11.5897
epoch 97: train 9.9515 | val 6,6: 10.7995 | 9,6: 9.2834 | 12,6: 8.1326 | 15,3: 11.5914
epoch 98: train 9.9526 | val 6,6: 10.8064 | 9,6: 9.2824 | 12,6: 8.1190 | 15,3: 11.5906
epoch 99: train 9.9530 | val 6,6: 10.8132 | 9,6: 9.2827 | 12,6: 8.1187 | 15,3: 11.5941
epoch 100: train 9.9517 | val 6,6: 10.8004 | 9,6: 9.2821 | 12,6: 8.1201 | 15,3: 11.5918
epoch 101: train 9.9506 | val 6,6: 10.8109 | 9,6: 9.2799 | 12,6: 8.1164 | 15,3: 11.5929
epoch 102: train 9.9492 | val 6,6: 10.8069 | 9,6: 9.2858 | 12,6: 8.1338 | 15,3: 11.5947
epoch 103: train 9.9538 | val 6,6: 10.8163 | 9,6: 9.2856 | 12,6: 8.1283 | 15,3: 11.5909
epoch 104: train 9.9502 | val 6,6: 10.8199 | 9,6: 9.2797 | 12,6: 8.1183 | 15,3: 11.5907
epoch 105: train 9.9488 | val 6,6: 10.8208 | 9,6: 9.2837 | 12,6: 8.1356 | 15,3: 11.5834
epoch 106: train 9.9428 | val 6,6: 10.7953 | 9,6: 9.2776 | 12,6: 8.1264 | 15,3: 11.5644
epoch 107: train 9.9396 | val 6,6: 10.7984 | 9,6: 9.2761 | 12,6: 8.1189 | 15,3: 11.5599
epoch 108: train 9.9448 | val 6,6: 10.7953 | 9,6: 9.2801 | 12,6: 8.1216 | 15,3: 11.5463
epoch 109: train 9.9416 | val 6,6: 10.8006 | 9,6: 9.2830 | 12,6: 8.1310 | 15,3: 11.5371
epoch 110: train 9.9363 | val 6,6: 10.8170 | 9,6: 9.2812 | 12,6: 8.1251 | 15,3: 11.5410
epoch 111: train 9.9362 | val 6,6: 10.8051 | 9,6: 9.2800 | 12,6: 8.1145 | 15,3: 11.5302
epoch 112: train 9.9369 | val 6,6: 10.8114 | 9,6: 9.2853 | 12,6: 8.1437 | 15,3: 11.5383
epoch 113: train 9.9334 | val 6,6: 10.8092 | 9,6: 9.2747 | 12,6: 8.1193 | 15,3: 11.5273
epoch 114: train 9.9360 | val 6,6: 10.7918 | 9,6: 9.2750 | 12,6: 8.1177 | 15,3: 11.5392
epoch 115: train 9.9344 | val 6,6: 10.8047 | 9,6: 9.2594 | 12,6: 8.1108 | 15,3: 11.5418
epoch 116: train 9.9276 | val 6,6: 10.7998 | 9,6: 9.2540 | 12,6: 8.0966 | 15,3: 11.5209
epoch 117: train 9.9227 | val 6,6: 10.7899 | 9,6: 9.2554 | 12,6: 8.1056 | 15,3: 11.5362
epoch 118: train 9.9216 | val 6,6: 10.7901 | 9,6: 9.2564 | 12,6: 8.1053 | 15,3: 11.5177
epoch 119: train 9.9121 | val 6,6: 10.7739 | 9,6: 9.2532 | 12,6: 8.1031 | 15,3: 11.4823
epoch 120: train 9.9101 | val 6,6: 10.7777 | 9,6: 9.2576 | 12,6: 8.0964 | 15,3: 11.4565
epoch 121: train 9.9109 | val 6,6: 10.7647 | 9,6: 9.2470 | 12,6: 8.0990 | 15,3: 11.5018
epoch 122: train 9.9114 | val 6,6: 10.7579 | 9,6: 9.2477 | 12,6: 8.1063 | 15,3: 11.5460
epoch 123: train 9.9165 | val 6,6: 10.7706 | 9,6: 9.2486 | 12,6: 8.0865 | 15,3: 11.5268
epoch 124: train 9.9123 | val 6,6: 10.7660 | 9,6: 9.2522 | 12,6: 8.0906 | 15,3: 11.5227
epoch 125: train 9.9108 | val 6,6: 10.7504 | 9,6: 9.2448 | 12,6: 8.1089 | 15,3: 11.5318
epoch 126: train 9.9094 | val 6,6: 10.7674 | 9,6: 9.2444 | 12,6: 8.0875 | 15,3: 11.5255
epoch 127: train 9.9064 | val 6,6: 10.7487 | 9,6: 9.2413 | 12,6: 8.0811 | 15,3: 11.5302
epoch 128: train 9.9048 | val 6,6: 10.7492 | 9,6: 9.2335 | 12,6: 8.1094 | 15,3: 11.5104
epoch 129: train 9.9008 | val 6,6: 10.7506 | 9,6: 9.2350 | 12,6: 8.1099 | 15,3: 11.4840
epoch 130: train 9.8901 | val 6,6: 10.7286 | 9,6: 9.2307 | 12,6: 8.0981 | 15,3: 11.5387
epoch 131: train 9.8991 | val 6,6: 10.7224 | 9,6: 9.2220 | 12,6: 8.0977 | 15,3: 11.5229
epoch 132: train 9.8987 | val 6,6: 10.7173 | 9,6: 9.2073 | 12,6: 8.0778 | 15,3: 11.5211
epoch 133: train 9.8902 | val 6,6: 10.7083 | 9,6: 9.2085 | 12,6: 8.0878 | 15,3: 11.4766
epoch 134: train 9.8819 | val 6,6: 10.7049 | 9,6: 9.1944 | 12,6: 8.0692 | 15,3: 11.4517
epoch 135: train 9.8759 | val 6,6: 10.7051 | 9,6: 9.2101 | 12,6: 8.0894 | 15,3: 11.4610
epoch 136: train 9.8829 | val 6,6: 10.6951 | 9,6: 9.1980 | 12,6: 8.0757 | 15,3: 11.4636
epoch 137: train 9.8736 | val 6,6: 10.7024 | 9,6: 9.2020 | 12,6: 8.1003 | 15,3: 11.4503
epoch 138: train 9.8689 | val 6,6: 10.7090 | 9,6: 9.1959 | 12,6: 8.0845 | 15,3: 11.4553
epoch 139: train 9.8721 | val 6,6: 10.6947 | 9,6: 9.1940 | 12,6: 8.0842 | 15,3: 11.4756
epoch 140: train 9.8676 | val 6,6: 10.7112 | 9,6: 9.2117 | 12,6: 8.0914 | 15,3: 11.4414
epoch 141: train 9.8629 | val 6,6: 10.6882 | 9,6: 9.1917 | 12,6: 8.0796 | 15,3: 11.4124
epoch 142: train 9.8577 | val 6,6: 10.6995 | 9,6: 9.1969 | 12,6: 8.0906 | 15,3: 11.4426
epoch 143: train 9.8630 | val 6,6: 10.7037 | 9,6: 9.1962 | 12,6: 8.0811 | 15,3: 11.4918
epoch 144: train 9.8683 | val 6,6: 10.6852 | 9,6: 9.1854 | 12,6: 8.0730 | 15,3: 11.4766
epoch 145: train 9.8652 | val 6,6: 10.6901 | 9,6: 9.1878 | 12,6: 8.0756 | 15,3: 11.4657
epoch 146: train 9.8676 | val 6,6: 10.6960 | 9,6: 9.1902 | 12,6: 8.0651 | 15,3: 11.4924
epoch 147: train 9.8614 | val 6,6: 10.7031 | 9,6: 9.1864 | 12,6: 8.0800 | 15,3: 11.4911
epoch 148: train 9.8593 | val 6,6: 10.6923 | 9,6: 9.1726 | 12,6: 8.0785 | 15,3: 11.4853
epoch 149: train 9.8542 | val 6,6: 10.6870 | 9,6: 9.1640 | 12,6: 8.0679 | 15,3: 11.4444
epoch 150: train 9.8526 | val 6,6: 10.6864 | 9,6: 9.1763 | 12,6: 8.0666 | 15,3: 11.4610
epoch 151: train 9.8472 | val 6,6: 10.6829 | 9,6: 9.1637 | 12,6: 8.0639 | 15,3: 11.4533
epoch 152: train 9.8489 | val 6,6: 10.7001 | 9,6: 9.1758 | 12,6: 8.0586 | 15,3: 11.4359
epoch 153: train 9.8401 | val 6,6: 10.6805 | 9,6: 9.1605 | 12,6: 8.0563 | 15,3: 11.4301
epoch 154: train 9.8379 | val 6,6: 10.6710 | 9,6: 9.1541 | 12,6: 8.0539 | 15,3: 11.4207
epoch 155: train 9.8369 | val 6,6: 10.6950 | 9,6: 9.1657 | 12,6: 8.0756 | 15,3: 11.4172
epoch 156: train 9.8319 | val 6,6: 10.6676 | 9,6: 9.1557 | 12,6: 8.0572 | 15,3: 11.4102
epoch 157: train 9.8319 | val 6,6: 10.6845 | 9,6: 9.1550 | 12,6: 8.0511 | 15,3: 11.4049
epoch 158: train 9.8289 | val 6,6: 10.6950 | 9,6: 9.1631 | 12,6: 8.0480 | 15,3: 11.3868
epoch 159: train 9.8279 | val 6,6: 10.6897 | 9,6: 9.1584 | 12,6: 8.0561 | 15,3: 11.3860
epoch 160: train 9.8231 | val 6,6: 10.6798 | 9,6: 9.1540 | 12,6: 8.0406 | 15,3: 11.3967
epoch 161: train 9.8274 | val 6,6: 10.7138 | 9,6: 9.1651 | 12,6: 8.0597 | 15,3: 11.5519
epoch 162: train 9.8246 | val 6,6: 10.6597 | 9,6: 9.1413 | 12,6: 8.0423 | 15,3: 11.3859
epoch 163: train 9.8207 | val 6,6: 10.6676 | 9,6: 9.1469 | 12,6: 8.0583 | 15,3: 11.3865
epoch 164: train 9.8201 | val 6,6: 10.6739 | 9,6: 9.1541 | 12,6: 8.0530 | 15,3: 11.3803
epoch 165: train 9.8160 | val 6,6: 10.6877 | 9,6: 9.1563 | 12,6: 8.0433 | 15,3: 11.3890
epoch 166: train 9.8182 | val 6,6: 10.6796 | 9,6: 9.1537 | 12,6: 8.0563 | 15,3: 11.3811
epoch 167: train 9.8171 | val 6,6: 10.6886 | 9,6: 9.1417 | 12,6: 8.0252 | 15,3: 11.3729
epoch 168: train 9.8128 | val 6,6: 10.6875 | 9,6: 9.1624 | 12,6: 8.0320 | 15,3: 11.3906
epoch 169: train 9.8156 | val 6,6: 10.7070 | 9,6: 9.1471 | 12,6: 8.0443 | 15,3: 11.3802
epoch 170: train 9.8105 | val 6,6: 10.6750 | 9,6: 9.1435 | 12,6: 8.0334 | 15,3: 11.3771
epoch 171: train 9.8121 | val 6,6: 10.6841 | 9,6: 9.1548 | 12,6: 8.0432 | 15,3: 11.4034
epoch 172: train 9.8130 | val 6,6: 10.6619 | 9,6: 9.1402 | 12,6: 8.0172 | 15,3: 11.3793
epoch 173: train 9.8078 | val 6,6: 10.6787 | 9,6: 9.1437 | 12,6: 8.0307 | 15,3: 11.3865
epoch 174: train 9.8092 | val 6,6: 10.6576 | 9,6: 9.1411 | 12,6: 8.0226 | 15,3: 11.3652
epoch 175: train 9.8055 | val 6,6: 10.6646 | 9,6: 9.1406 | 12,6: 8.0237 | 15,3: 11.3681
epoch 176: train 9.8083 | val 6,6: 10.6655 | 9,6: 9.1411 | 12,6: 8.0198 | 15,3: 11.3625
epoch 177: train 9.8070 | val 6,6: 10.7104 | 9,6: 9.1550 | 12,6: 8.0464 | 15,3: 11.3701
epoch 178: train 9.8063 | val 6,6: 10.6720 | 9,6: 9.1382 | 12,6: 8.0355 | 15,3: 11.3826
epoch 179: train 9.8023 | val 6,6: 10.6554 | 9,6: 9.1406 | 12,6: 8.0099 | 15,3: 11.3707
epoch 180: train 9.8052 | val 6,6: 10.6650 | 9,6: 9.1353 | 12,6: 8.0113 | 15,3: 11.3633
epoch 181: train 9.8022 | val 6,6: 10.6852 | 9,6: 9.1479 | 12,6: 8.0207 | 15,3: 11.3719
epoch 182: train 9.8013 | val 6,6: 10.6852 | 9,6: 9.1413 | 12,6: 8.0140 | 15,3: 11.3654
epoch 183: train 9.8043 | val 6,6: 10.6930 | 9,6: 9.1433 | 12,6: 8.0991 | 15,3: 11.3739
epoch 184: train 9.7993 | val 6,6: 10.6568 | 9,6: 9.1382 | 12,6: 8.0263 | 15,3: 11.3615
epoch 185: train 9.8026 | val 6,6: 10.6842 | 9,6: 9.1363 | 12,6: 8.0312 | 15,3: 11.3667
epoch 186: train 9.7995 | val 6,6: 10.6811 | 9,6: 9.1409 | 12,6: 8.0111 | 15,3: 11.3687
epoch 187: train 9.8000 | val 6,6: 10.6779 | 9,6: 9.1336 | 12,6: 8.0086 | 15,3: 11.3661
