device: cuda; sizes: [(6, 6), (9, 6), (12, 6), (15, 3)]; curve loss on: [(6, 6), (9, 6), (12, 6), (15, 3)]; lr: 0.001; H: 7
loadCodeEvaluations: kept 895050 codes on the requested grid; dropped 1948461 records whose grid does not contain all its points
  size 6,6: 895050 codes (716040 train) curveLoss=True
loadCodeEvaluations: kept 2745739 codes on the requested grid; dropped 2681591 records whose grid does not contain all its points
  size 9,6: 2745739 codes (2196591 train) curveLoss=True
loadCodeEvaluations: kept 1353227 codes on the requested grid; dropped 457979 records whose grid does not contain all its points
  size 12,6: 1353227 codes (1082582 train) curveLoss=True
loadCodeEvaluations: kept 4412297 codes on the requested grid; dropped 458644 records whose grid does not contain all its points
  size 15,3: 4412297 codes (3529838 train) curveLoss=True
epoch 67: train 9.8458 | val 6,6: 10.6704 | 9,6: 9.1369 | 12,6: 8.1666 | 15,3: 11.5211
epoch 68: train 9.8500 | val 6,6: 10.6437 | 9,6: 9.1199 | 12,6: 8.0475 | 15,3: 11.5472
epoch 69: train 9.8505 | val 6,6: 10.6670 | 9,6: 9.1383 | 12,6: 8.0627 | 15,3: 11.5592
epoch 70: train 9.8501 | val 6,6: 10.7020 | 9,6: 9.1232 | 12,6: 8.0975 | 15,3: 11.5589
epoch 71: train 9.8506 | val 6,6: 10.6439 | 9,6: 9.1260 | 12,6: 8.0528 | 15,3: 11.5292
epoch 72: train 9.8393 | val 6,6: 10.6502 | 9,6: 9.1216 | 12,6: 8.0995 | 15,3: 11.5070
epoch 73: train 9.8391 | val 6,6: 10.6746 | 9,6: 9.1280 | 12,6: 8.0549 | 15,3: 11.5348
epoch 74: train 9.8325 | val 6,6: 10.6633 | 9,6: 9.1325 | 12,6: 8.1480 | 15,3: 11.4531
epoch 75: train 9.8249 | val 6,6: 10.6489 | 9,6: 9.1225 | 12,6: 8.0806 | 15,3: 11.4419
epoch 76: train 9.8230 | val 6,6: 10.6585 | 9,6: 9.1544 | 12,6: 8.0773 | 15,3: 11.5100
epoch 77: train 9.8173 | val 6,6: 10.6592 | 9,6: 9.1287 | 12,6: 8.0678 | 15,3: 11.4492
epoch 78: train 9.8189 | val 6,6: 10.6380 | 9,6: 9.1155 | 12,6: 8.0470 | 15,3: 11.4265
epoch 79: train 9.8226 | val 6,6: 10.6511 | 9,6: 9.1179 | 12,6: 8.0732 | 15,3: 11.4313
epoch 80: train 9.8212 | val 6,6: 10.6841 | 9,6: 9.1283 | 12,6: 8.0643 | 15,3: 11.4557
epoch 81: train 9.8192 | val 6,6: 10.6618 | 9,6: 9.1243 | 12,6: 8.0703 | 15,3: 11.4536
epoch 82: train 9.8281 | val 6,6: 10.6675 | 9,6: 9.1355 | 12,6: 8.0482 | 15,3: 11.5232
epoch 83: train 9.8255 | val 6,6: 10.6838 | 9,6: 9.1462 | 12,6: 8.0564 | 15,3: 11.4717
epoch 84: train 9.8189 | val 6,6: 10.6711 | 9,6: 9.1372 | 12,6: 8.0658 | 15,3: 11.5271
epoch 85: train 9.8315 | val 6,6: 10.6618 | 9,6: 9.1257 | 12,6: 8.0806 | 15,3: 11.5093
epoch 86: train 9.8306 | val 6,6: 10.6763 | 9,6: 9.1607 | 12,6: 8.0963 | 15,3: 11.5175
epoch 87: train 9.8235 | val 6,6: 10.6743 | 9,6: 9.1429 | 12,6: 8.0911 | 15,3: 11.5942
epoch 88: train 9.8187 | val 6,6: 10.6930 | 9,6: 9.1304 | 12,6: 8.0725 | 15,3: 11.4655
epoch 89: train 9.8178 | val 6,6: 10.7127 | 9,6: 9.1598 | 12,6: 8.0919 | 15,3: 11.4623
epoch 90: train 9.8161 | val 6,6: 10.7485 | 9,6: 9.1851 | 12,6: 8.0952 | 15,3: 11.5681
epoch 91: train 9.8170 | val 6,6: 10.6721 | 9,6: 9.1274 | 12,6: 8.0770 | 15,3: 11.4741
epoch 92: train 9.8140 | val 6,6: 10.6834 | 9,6: 9.1662 | 12,6: 8.0756 | 15,3: 11.5745
epoch 93: train 9.8247 | val 6,6: 10.6538 | 9,6: 9.1204 | 12,6: 8.0722 | 15,3: 11.5204
epoch 94: train 9.8253 | val 6,6: 10.6971 | 9,6: 9.1232 | 12,6: 8.0587 | 15,3: 11.4630
epoch 95: train 9.8161 | val 6,6: 10.6516 | 9,6: 9.1169 | 12,6: 8.0576 | 15,3: 11.4721
epoch 96: train 9.8140 | val 6,6: 10.6691 | 9,6: 9.1191 | 12,6: 8.0527 | 15,3: 11.4222
epoch 97: train 9.8092 | val 6,6: 10.6939 | 9,6: 9.1295 | 12,6: 8.0565 | 15,3: 11.5527
epoch 98: train 9.8070 | val 6,6: 10.7134 | 9,6: 9.1639 | 12,6: 8.0729 | 15,3: 11.5554
epoch 99: train 9.8033 | val 6,6: 10.6773 | 9,6: 9.1651 | 12,6: 8.0816 | 15,3: 11.7281
epoch 100: train 9.8149 | val 6,6: 10.6591 | 9,6: 9.2663 | 12,6: 8.0779 | 15,3: 11.5666
epoch 101: train 9.8328 | val 6,6: 10.6434 | 9,6: 9.1174 | 12,6: 8.0388 | 15,3: 11.4831
epoch 102: train 9.8287 | val 6,6: 10.6540 | 9,6: 9.1280 | 12,6: 8.0695 | 15,3: 11.4774
epoch 103: train 9.8234 | val 6,6: 10.6555 | 9,6: 9.1311 | 12,6: 8.0527 | 15,3: 11.4883
epoch 104: train 9.8309 | val 6,6: 10.6385 | 9,6: 9.1179 | 12,6: 8.0360 | 15,3: 11.5070
epoch 105: train 9.8294 | val 6,6: 10.6668 | 9,6: 9.1253 | 12,6: 8.0756 | 15,3: 11.5111
epoch 106: train 9.8231 | val 6,6: 10.6487 | 9,6: 9.1259 | 12,6: 8.0821 | 15,3: 11.4708
epoch 107: train 9.8231 | val 6,6: 10.7478 | 9,6: 9.2730 | 12,6: 8.0786 | 15,3: 11.7198
epoch 108: train 9.8123 | val 6,6: 10.6530 | 9,6: 9.1257 | 12,6: 8.0930 | 15,3: 11.6355
epoch 109: train 9.8227 | val 6,6: 10.6718 | 9,6: 9.1245 | 12,6: 8.0566 | 15,3: 11.5382
epoch 110: train 9.8250 | val 6,6: 10.6623 | 9,6: 9.1379 | 12,6: 8.0694 | 15,3: 11.4934
epoch 111: train 9.8189 | val 6,6: 10.7708 | 9,6: 9.1843 | 12,6: 8.0841 | 15,3: 11.5970
epoch 112: train 9.8219 | val 6,6: 10.6959 | 9,6: 9.1678 | 12,6: 8.0808 | 15,3: 11.6470
epoch 113: train 9.8221 | val 6,6: 10.6550 | 9,6: 9.1249 | 12,6: 8.0488 | 15,3: 11.4551
epoch 114: train 9.8146 | val 6,6: 10.7056 | 9,6: 9.1361 | 12,6: 8.1107 | 15,3: 11.5294
epoch 115: train 9.8122 | val 6,6: 10.6896 | 9,6: 9.2064 | 12,6: 8.0772 | 15,3: 11.4770
epoch 116: train 9.8112 | val 6,6: 10.7094 | 9,6: 9.1522 | 12,6: 8.1073 | 15,3: 11.4471
epoch 117: train 9.8096 | val 6,6: 10.6772 | 9,6: 9.1318 | 12,6: 8.0585 | 15,3: 11.4697
epoch 118: train 9.8271 | val 6,6: 10.6528 | 9,6: 9.1505 | 12,6: 8.0608 | 15,3: 11.5131
epoch 119: train 9.8214 | val 6,6: 10.6645 | 9,6: 9.1448 | 12,6: 8.0709 | 15,3: 11.5151
epoch 120: train 9.8122 | val 6,6: 10.8120 | 9,6: 9.2645 | 12,6: 8.1329 | 15,3: 11.6499
epoch 121: train 9.8167 | val 6,6: 10.6868 | 9,6: 9.1417 | 12,6: 8.0783 | 15,3: 11.5067
epoch 122: train 9.8171 | val 6,6: 10.6728 | 9,6: 9.1243 | 12,6: 8.0671 | 15,3: 11.4773
epoch 123: train 9.8119 | val 6,6: 10.6815 | 9,6: 9.1423 | 12,6: 8.0671 | 15,3: 11.4792
epoch 124: train 9.8205 | val 6,6: 10.6913 | 9,6: 9.1424 | 12,6: 8.1169 | 15,3: 11.5674
epoch 125: train 9.8132 | val 6,6: 10.6559 | 9,6: 9.1476 | 12,6: 8.0602 | 15,3: 11.5482
epoch 126: train 9.8081 | val 6,6: 10.6917 | 9,6: 9.1532 | 12,6: 8.0705 | 15,3: 11.5245
epoch 127: train 9.8065 | val 6,6: 10.6614 | 9,6: 9.1266 | 12,6: 8.0605 | 15,3: 11.5019
epoch 128: train 9.8021 | val 6,6: 10.6475 | 9,6: 9.1362 | 12,6: 8.0878 | 15,3: 11.5271
epoch 129: train 9.7994 | val 6,6: 10.6387 | 9,6: 9.1207 | 12,6: 8.0761 | 15,3: 11.3798
epoch 130: train 9.8004 | val 6,6: 10.6559 | 9,6: 9.1315 | 12,6: 8.1129 | 15,3: 11.5220
epoch 131: train 9.8012 | val 6,6: 10.6723 | 9,6: 9.1438 | 12,6: 8.0653 | 15,3: 11.6643
epoch 132: train 9.8040 | val 6,6: 10.7251 | 9,6: 9.1635 | 12,6: 8.0919 | 15,3: 11.5661
epoch 133: train 9.8287 | val 6,6: 10.6598 | 9,6: 9.1233 | 12,6: 8.0945 | 15,3: 11.5332
epoch 134: train 9.8333 | val 6,6: 10.6621 | 9,6: 9.1345 | 12,6: 8.0859 | 15,3: 11.5568
epoch 135: train 9.8340 | val 6,6: 10.7089 | 9,6: 9.1799 | 12,6: 8.0838 | 15,3: 11.5827
epoch 136: train 9.8304 | val 6,6: 10.6513 | 9,6: 9.1221 | 12,6: 8.0555 | 15,3: 11.5023
epoch 137: train 9.8257 | val 6,6: 10.8024 | 9,6: 9.1653 | 12,6: 8.0989 | 15,3: 11.5309
epoch 138: train 9.8219 | val 6,6: 10.6872 | 9,6: 9.1664 | 12,6: 8.0812 | 15,3: 11.5244
epoch 139: train 9.8132 | val 6,6: 10.6778 | 9,6: 9.1289 | 12,6: 8.0507 | 15,3: 11.4438
epoch 140: train 9.8018 | val 6,6: 10.6520 | 9,6: 9.1201 | 12,6: 8.0469 | 15,3: 11.4605
epoch 141: train 9.8196 | val 6,6: 10.6718 | 9,6: 9.1560 | 12,6: 8.0524 | 15,3: 11.5225
epoch 142: train 9.8204 | val 6,6: 10.7013 | 9,6: 9.1582 | 12,6: 8.0791 | 15,3: 11.6099
epoch 143: train 9.8143 | val 6,6: 10.7184 | 9,6: 9.1515 | 12,6: 8.0789 | 15,3: 11.6352
epoch 144: train 9.8058 | val 6,6: 10.7210 | 9,6: 9.1605 | 12,6: 8.0657 | 15,3: 11.5127
epoch 145: train 9.8088 | val 6,6: 10.6533 | 9,6: 9.1320 | 12,6: 8.1067 | 15,3: 11.4311
epoch 146: train 9.8054 | val 6,6: 10.7578 | 9,6: 9.2066 | 12,6: 8.1531 | 15,3: 11.5966
epoch 147: train 9.8027 | val 6,6: 10.6556 | 9,6: 9.1369 | 12,6: 8.0756 | 15,3: 11.4459
epoch 148: train 9.8011 | val 6,6: 10.6905 | 9,6: 9.1708 | 12,6: 8.0586 | 15,3: 11.5281
epoch 149: train 9.8079 | val 6,6: 10.7810 | 9,6: 9.1934 | 12,6: 8.1009 | 15,3: 11.5928
epoch 150: train 9.8047 | val 6,6: 10.6704 | 9,6: 9.1292 | 12,6: 8.0676 | 15,3: 11.4395
epoch 151: train 9.8030 | val 6,6: 10.7493 | 9,6: 9.2224 | 12,6: 8.0689 | 15,3: 11.5912
epoch 152: train 9.7986 | val 6,6: 10.6576 | 9,6: 9.1318 | 12,6: 8.0853 | 15,3: 11.4186
epoch 153: train 9.8087 | val 6,6: 10.6751 | 9,6: 9.1525 | 12,6: 8.0574 | 15,3: 11.4870
epoch 154: train 9.8037 | val 6,6: 10.6651 | 9,6: 9.1712 | 12,6: 8.0729 | 15,3: 11.5150
epoch 155: train 9.8032 | val 6,6: 10.7038 | 9,6: 9.2044 | 12,6: 8.0993 | 15,3: 11.6358
epoch 156: train 9.8073 | val 6,6: 10.6818 | 9,6: 9.1419 | 12,6: 8.0918 | 15,3: 11.4664
epoch 157: train 9.7966 | val 6,6: 10.7405 | 9,6: 9.1789 | 12,6: 8.0925 | 15,3: 11.7036
epoch 158: train 9.7990 | val 6,6: 10.6566 | 9,6: 9.1462 | 12,6: 8.0637 | 15,3: 11.5398
epoch 159: train 9.7959 | val 6,6: 10.6612 | 9,6: 9.1487 | 12,6: 8.0570 | 15,3: 11.4718
epoch 160: train 9.7951 | val 6,6: 10.6497 | 9,6: 9.1205 | 12,6: 8.0563 | 15,3: 11.4917
epoch 161: train 9.7921 | val 6,6: 10.6479 | 9,6: 9.1396 | 12,6: 8.0794 | 15,3: 11.4267
epoch 162: train 9.7932 | val 6,6: 10.6975 | 9,6: 9.1795 | 12,6: 8.1191 | 15,3: 11.5982
epoch 163: train 9.7884 | val 6,6: 10.7280 | 9,6: 9.1639 | 12,6: 8.0963 | 15,3: 11.5754
epoch 164: train 9.7892 | val 6,6: 10.6571 | 9,6: 9.1251 | 12,6: 8.0785 | 15,3: 11.4427
epoch 165: train 9.7920 | val 6,6: 10.7113 | 9,6: 9.2157 | 12,6: 8.0926 | 15,3: 11.6513
epoch 166: train 9.7878 | val 6,6: 10.6514 | 9,6: 9.1357 | 12,6: 8.0522 | 15,3: 11.5831
epoch 167: train 9.7944 | val 6,6: 10.6661 | 9,6: 9.1450 | 12,6: 8.0568 | 15,3: 11.4729
epoch 168: train 9.7986 | val 6,6: 10.6466 | 9,6: 9.1263 | 12,6: 8.0531 | 15,3: 11.4876
epoch 169: train 9.8145 | val 6,6: 10.8940 | 9,6: 9.3712 | 12,6: 8.1190 | 15,3: 11.7351
