# num_workers = 96
# num_cells = 256
# seed_for_environment = 1982
# lr = 0.0003
# max_grad_norm = 1.0
# eval_rollout_length = 30
# scaling_factor = 1000
# frames_per_batch = 100
# sub_batch_size = 64
# num_epochs = 15
# clip_epsilon = 0.2
# gamma = 0.99
# lmbda = 0.95
# entropy_eps = 0.001
# env_reward_engineering = True
# env_minimum_number_of_qubits = 6
# log_name = None
# env_version = qecc/bbcode-ldpc-v0
# env_bit_flipping = True
# env_l = 6
# env_m = 6
# env_use_dict_observation = True
# env_number_of_decoder_iterations = 50
# env_number_of_samples = 50
# env_code_logging = False
# model_architecture = hybrid
# model_surrogate_model_path = /vol/bitbucket/osella/rl-qecc-data//supervisedLearning/2026-07-12_20-18-32/surrogate_6x6.pth
# index_to_unfreeze_encoder_updates = 10
# encoder_lr_factor = 0.1
# Just for information, not used in actual run: SLURM CPUS queried from os environment: 96
# Number of workers: 96
# Does torch identify cuda: False
evaluation number	reward	policy entropy	Encoder freeze
4	0.1274999976158142	6.631595134735107	False
4	0.11999999731779099	6.493685245513916	False
4	0.14499999582767487	6.598726749420166	False
4	0.14499999582767487	6.572628021240234	False
4	0.13249999284744263	6.563018798828125	False
4	0.12999999523162842	6.4583821296691895	False
5	0.125	6.7508625984191895	False
5	0.125	6.63999605178833	False
5	0.125	6.74478816986084	False
5	0.11749999970197678	6.673921585083008	False
5	0.125	6.733307361602783	False
5	0.11999999731779099	6.628297328948975	False
5	0.1274999976158142	6.7409844398498535	False
5	0.12999999523162842	6.6574320793151855	False
5	0.125	6.722609043121338	False
5	0.125	6.599958419799805	False
5	0.125	6.7052717208862305	False
5	0.12250000238418579	6.618814945220947	False
5	0.125	6.709183692932129	False
5	0.125	6.65846061706543	False
5	0.125	6.711396217346191	False
5	0.125	6.650940895080566	False
5	0.12999999523162842	6.765836715698242	False
5	0.12250000238418579	6.695964336395264	False
5	0.12250000238418579	6.69499397277832	False
5	0.12999999523162842	6.6614251136779785	False
5	0.11999999731779099	6.760207176208496	False
5	0.12250000238418579	6.657418727874756	False
5	0.11999999731779099	6.7349419593811035	False
5	0.1274999976158142	6.6593217849731445	False
5	0.1274999976158142	6.6826066970825195	False
5	0.125	6.657174587249756	False
5	0.11749999970197678	6.75150203704834	False
5	0.125	6.66777229309082	False
5	0.11749999970197678	6.740452289581299	False
5	0.12250000238418579	6.61326789855957	False
6	0.125	5.53017520904541	False
6	0.12999999523162842	5.906709671020508	False
6	0.11999999731779099	5.531572341918945	False
6	0.125	5.894908905029297	False
6	0.125	5.5419697761535645	False
6	0.12999999523162842	5.874853134155273	False
6	0.1274999976158142	5.539491653442383	False
6	0.11999999731779099	5.876494407653809	False
6	0.125	5.562145233154297	False
6	0.12250000238418579	5.84680700302124	False
6	0.125	5.514858245849609	False
6	0.125	5.922276973724365	False
6	0.12250000238418579	5.537106513977051	False
6	0.125	5.902496814727783	False
6	0.125	5.594527721405029	False
6	0.12250000238418579	5.845448970794678	False
6	0.12250000238418579	5.549135684967041	False
6	0.125	5.882481575012207	False
6	0.1274999976158142	5.525001049041748	False
6	0.1274999976158142	5.9678802490234375	False
6	0.12999999523162842	5.47562313079834	False
6	0.125	5.905991554260254	False
6	0.12250000238418579	5.960292339324951	False
6	0.12250000238418579	5.474658966064453	False
6	0.11999999731779099	5.873241901397705	False
6	0.12250000238418579	5.476902008056641	False
6	0.11749999970197678	5.912176609039307	False
6	0.125	5.454360008239746	False
6	0.11999999731779099	5.87100076675415	False
6	0.11749999970197678	5.504026889801025	False
7	0.125	3.763850212097168	False
7	0.11749999970197678	3.453613042831421	False
7	0.125	3.733551502227783	False
7	0.125	3.5498292446136475	False
7	0.12250000238418579	3.6574037075042725	False
7	0.125	3.6335678100585938	False
7	0.12250000238418579	3.6522326469421387	False
7	0.12250000238418579	3.7518224716186523	False
7	0.12250000238418579	3.741851806640625	False
7	0.12250000238418579	3.598360300064087	False
7	0.12250000238418579	3.629958152770996	False
7	0.125	3.695774555206299	False
7	0.12250000238418579	3.680454730987549	False
7	0.11500000208616257	3.4707486629486084	False
7	0.12250000238418579	3.778686046600342	False
7	0.12250000238418579	3.6268508434295654	False
7	0.125	3.6698272228240967	False
7	0.125	3.5297257900238037	False
7	0.11999999731779099	3.722383499145508	False
7	0.12999999523162842	3.8577048778533936	False
7	0.1274999976158142	3.743180513381958	False
7	0.12999999523162842	3.802253007888794	False
7	0.125	3.8131167888641357	False
7	0.1274999976158142	3.981271743774414	False
7	0.12999999523162842	3.917947769165039	False
7	0.125	3.8329086303710938	False
7	0.11999999731779099	3.8045401573181152	False
7	0.13500000536441803	3.788296937942505	False
7	0.125	3.729684591293335	False
7	0.1274999976158142	3.8780789375305176	False
8	0.12250000238418579	1.4235329627990723	False
8	0.1274999976158142	1.7373852729797363	False
